gadm_name,province_id
An Giang,1
Bà Rịa - Vũng Tàu,2
Bình Dương,3
Bình Phước,4
Bình Thuận,5
Bình Định,6
Bạc Liêu,7
Bắc Giang,8
Bắc Kạn,9
Bắc Ninh,10
Bến Tre,11
Cao Bằng,12
Cà Mau,13
Cần Thơ,14
Gia Lai,15
Hoà Bình,16
Hà Giang,17
Hà Nam,18
Hà Nội,19
Hà Tĩnh,20
Hưng Yên,21
Hải Dương,22
Hải Phòng,23
Hậu Giang,24
Hồ Chí Minh,25
Khánh Hòa,26
Kiên Giang,27
Kon Tum,28
Lai Châu,29
Long An,30
Lào Cai,31
Lâm Đồng,32
Lạng Sơn,33
Nam Định,34
Nghệ An,35
Ninh Bình,36
Ninh Thuận,37
Phú Thọ,38
Phú Yên,39
Quảng Bình,40
Quảng Nam,41
Quảng Ngãi,42
Quảng Ninh,43
Quảng Trị,44
Sóc Trăng,45
Sơn La,46
Thanh Hóa,47
Thái Bình,48
Thái Nguyên,49
Thừa Thiên Huế,50
Tiền Giang,51
Trà Vinh,52
Tuyên Quang,53
Tây Ninh,54
Vĩnh Long,55
Vĩnh Phúc,56
Yên Bái,57
Điện Biên,58
Đà Nẵng,59
Đắk Lắk,60
Đắk Nông,61
Đồng Nai,62
Đồng Tháp,63
