year,DIC,WAIC,phi
1994,463.1878765461173,508.4418715173048,0.22010306887985656
1995,501.59010874013865,528.5873203607208,0.2838529031587928
1996,490.66151450184174,535.2362847246595,0.23369469877203677
1997,521.7969857234857,538.3257930411054,0.48894193998676655
1998,617.4210023803428,625.0869330826416,0.4610954708613024
1999,505.1095041326121,521.3747651998601,0.3471982620716788
2000,461.47132218395444,479.4185125392817,0.3142848153089539
2001,501.47667284752094,515.3794451621409,0.343739443798983
2002,469.4288811892623,481.38723762512984,0.5483490589909616
2003,498.3458745334617,508.52110804918397,0.5183038280879283
2004,526.7238309138213,521.2713169176969,0.6129095008674668
2005,493.1068506294081,495.1627189597556,0.5921286791118492
2006,493.5622189144892,501.6927369182306,0.5071347812386079
2007,506.12012022532633,507.2653390868968,0.5396813115529818
2008,488.4464075942016,484.99677639517654,0.6292649323483892
2009,552.2991234343413,558.6221841016504,0.48009695011698583
2010,555.5635962007091,561.9459948173669,0.6273832860912262
